g.name	raw.score	z.score	p.value	q.value
HMGXB3	2.095812	7.858004	0.000000	0.000000
NCDN	2.056406	7.659788	0.000000	0.000000
KIAA0319L	2.035135	7.552788	0.000000	0.000000
TIGD6	2.031954	7.536787	0.000000	0.000000
AKR1B10	1.725443	5.994997	0.000000	0.000025
CNOT3	1.581316	5.270015	0.000000	0.001234
OR4K1	1.510886	4.915742	0.000002	0.006427
NBPF1	1.479151	4.756112	0.000005	0.012169
CEACAM21	1.447193	4.595355	0.000010	0.022938
FOXI3	1.438167	4.549956	0.000013	0.025407
GATAD2B	1.415775	4.437319	0.000021	0.037526
FOS	1.412804	4.422377	0.000023	0.037526
CEP95	1.407502	4.395704	0.000025	0.038962
OR4K2	1.403906	4.377617	0.000028	0.039167
