g.name	raw.score	z.score	p.value	q.value
ID1	3.502263	7.327858	0.000000	0.000000
AL132780.3	3.493662	7.305607	0.000000	0.000000
AJUBA	3.476217	7.260480	0.000000	0.000000
SP5	3.316638	6.847678	0.000000	0.000000
DHRS2	3.315152	6.843834	0.000000	0.000000
EMC9	3.052835	6.165268	0.000000	0.000006
BPIFB2	3.050006	6.157949	0.000000	0.000006
AHCY	3.017721	6.074433	0.000000	0.000009
PCK2	3.001616	6.032775	0.000000	0.000010
DCAF11	2.970248	5.951629	0.000000	0.000015
PSMB3	2.960636	5.926765	0.000000	0.000016
AL121845.2	2.807903	5.531674	0.000000	0.000139
APOA1	2.776853	5.451351	0.000000	0.000200
NRL	2.750164	5.382313	0.000000	0.000241
YWHAQ	2.749870	5.381552	0.000000	0.000241
NFKBIA	2.743451	5.364947	0.000000	0.000241
RNF31	2.742153	5.361589	0.000000	0.000241
ZMYND8	2.741451	5.359774	0.000000	0.000241
APOC3	2.737882	5.350542	0.000000	0.000241
APOB	2.726330	5.320659	0.000000	0.000270
PNN	2.702172	5.258166	0.000000	0.000358
DUSP6	2.694414	5.238096	0.000000	0.000366
CTDSP1	2.694148	5.237410	0.000000	0.000366
KHNYN	2.642127	5.102841	0.000001	0.000705
PSME1	2.618701	5.042240	0.000001	0.000922
HECTD1	2.615495	5.033947	0.000001	0.000925
AL163636.2	2.592508	4.974483	0.000002	0.001202
LIME1	2.575840	4.931367	0.000002	0.001436
CBX8	2.555639	4.879112	0.000003	0.001762
RBM39	2.554490	4.876139	0.000003	0.001762
ANG	2.544672	4.850742	0.000003	0.001931
RNASE4	2.538540	4.834880	0.000003	0.002022
CBLN3	2.528243	4.808242	0.000004	0.002232
ZFHX2	2.504382	4.746519	0.000005	0.002903
PSME2	2.500376	4.736155	0.000005	0.002903
BRMS1L	2.500069	4.735363	0.000005	0.002903
IPO4	2.480765	4.685426	0.000007	0.003530
AL121722.1	2.479708	4.682693	0.000007	0.003530
THTPA	2.474315	4.668741	0.000007	0.003595
TTC6	2.474072	4.668112	0.000007	0.003595
PCGF2	2.465874	4.646906	0.000008	0.003873
ROCK2	2.463362	4.640408	0.000008	0.003899
PABPN1	2.453062	4.613764	0.000010	0.004294
TMEM37	2.451507	4.609740	0.000010	0.004294
ZNFX1	2.445844	4.595090	0.000010	0.004493
AL136295.1	2.436271	4.570328	0.000012	0.004857
TCEA2	2.435678	4.568794	0.000012	0.004857
STRN3	2.432014	4.559316	0.000012	0.004969
FOXA1	2.429798	4.553584	0.000013	0.004998
CEBPB	2.427126	4.546671	0.000013	0.005057
PPP1R3E	2.420522	4.529587	0.000014	0.005359
RRBP1	2.409847	4.501972	0.000016	0.005956
SLC2A4RG	2.395961	4.466054	0.000019	0.006868
NR1D1	2.393024	4.458456	0.000019	0.006946
BAHCC1	2.389663	4.449760	0.000020	0.006946
EFNA1	2.388626	4.447079	0.000020	0.006946
EPCAM	2.387882	4.445153	0.000020	0.006946
SOX18	2.387291	4.443624	0.000021	0.006946
FTL	2.383262	4.433202	0.000022	0.007154
FABP1	2.379335	4.423044	0.000023	0.007360
DHRS1	2.370291	4.399649	0.000025	0.007913
TINF2	2.370161	4.399313	0.000025	0.007913
NOP9	2.364085	4.383596	0.000027	0.008302
FLOT1	2.363182	4.381260	0.000027	0.008302
TM9SF1	2.355807	4.362182	0.000029	0.008888
UNK	2.346428	4.337920	0.000033	0.009655
BCL2L2-PABPN1	2.345796	4.336285	0.000033	0.009655
