g.name	raw.score	z.score	p.value	q.value
DCAF11	7.713000	7.609015	0.000000	0.000000
PNN	7.322340	7.142726	0.000000	0.000000
NRL	7.250144	7.056553	0.000000	0.000000
IGFBP1	7.226641	7.028499	0.000000	0.000000
ZMYND8	6.778532	6.493639	0.000000	0.000001
RBM39	6.611866	6.294708	0.000000	0.000003
AJUBA	6.573355	6.248741	0.000000	0.000004
ID1	6.552002	6.223254	0.000000	0.000004
TRAPPC6B	6.222628	5.830116	0.000000	0.000037
AL132780.3	6.190425	5.791678	0.000000	0.000041
AP4S1	6.083431	5.663971	0.000000	0.000078
AHSG	5.933379	5.484869	0.000000	0.000194
HECTD1	5.890392	5.433561	0.000000	0.000218
STRN3	5.890050	5.433153	0.000000	0.000218
PCK2	5.881464	5.422904	0.000000	0.000218
SRP54	5.854808	5.391087	0.000000	0.000243
EMC9	5.568686	5.049574	0.000001	0.001358
TINF2	5.465536	4.926455	0.000002	0.002371
RNASE4	5.432738	4.887308	0.000003	0.002701
RBCK1	5.425279	4.878404	0.000003	0.002701
ANG	5.414120	4.865084	0.000003	0.002745
AL163636.2	5.388245	4.834200	0.000003	0.003043
NFS1	5.345129	4.782737	0.000004	0.003435
PABPN1	5.344253	4.781692	0.000004	0.003435
ROMO1	5.336743	4.772729	0.000005	0.003435
RALGAPA1	5.329415	4.763981	0.000005	0.003435
SGK2	5.326100	4.760025	0.000005	0.003435
PRMT5	5.324943	4.758643	0.000005	0.003435
PPP1R3E	5.311820	4.742981	0.000005	0.003573
SLX4IP	5.301178	4.730278	0.000006	0.003668
MKKS	5.287357	4.713781	0.000006	0.003682
BPIFB2	5.285832	4.711961	0.000006	0.003682
NFKBIA	5.283586	4.709280	0.000006	0.003682
HEATR5A	5.271817	4.695233	0.000007	0.003818
TTC6	5.236807	4.653445	0.000008	0.004509
FOXA1	5.222408	4.636258	0.000009	0.004748
NR0B2	5.213688	4.625851	0.000009	0.004848
C14orf119	5.193457	4.601702	0.000010	0.005276
NEDD8	5.185324	4.591995	0.000011	0.005374
FABP1	5.178392	4.583721	0.000011	0.005374
MGME1	5.176256	4.581171	0.000011	0.005374
GMPR2	5.168012	4.571332	0.000012	0.005487
NBPF1	5.140283	4.538235	0.000013	0.006232
BRMS1L	5.132395	4.528820	0.000014	0.006356
NEDD8-MDP1	5.115968	4.509212	0.000015	0.006651
SNX5	5.113205	4.505915	0.000016	0.006651
TM9SF1	5.111723	4.504146	0.000016	0.006651
APOA2	5.104750	4.495822	0.000016	0.006761
AHCY	5.083327	4.470252	0.000018	0.007428
ACIN1	5.058573	4.440706	0.000021	0.008304
BCL2L2-PABPN1	5.052213	4.433115	0.000022	0.008420
KIAA0391	5.028900	4.405289	0.000024	0.009338
PSME1	5.000672	4.371596	0.000028	0.010622
ASXL1	4.980769	4.347840	0.000031	0.011474
PCK1	4.978697	4.345366	0.000032	0.011474
AL136295.1	4.975250	4.341253	0.000032	0.011474
PTP4A1	4.969503	4.334392	0.000033	0.011613
BCL2L1	4.960659	4.323837	0.000035	0.011835
CLIC1	4.959162	4.322050	0.000035	0.011835
MRPS23	4.943215	4.303015	0.000038	0.012633
ARHGAP5	4.915178	4.269551	0.000044	0.014275
FGL1	4.912914	4.266848	0.000044	0.014275
PPP2R3C	4.900565	4.252109	0.000047	0.014849
RNASE8	4.898621	4.249788	0.000048	0.014849
DAD1	4.889541	4.238951	0.000050	0.014849
AL121594.1	4.887341	4.236324	0.000051	0.014849
DUSP6	4.887209	4.236167	0.000051	0.014849
HNMT	4.886947	4.235854	0.000051	0.014849
SCFD1	4.870241	4.215914	0.000055	0.015818
POLR3E	4.868663	4.214031	0.000056	0.015818
MAP1LC3B	4.829016	4.166708	0.000068	0.019015
DHRS2	4.822718	4.159191	0.000070	0.019347
TXNDC11	4.778636	4.106575	0.000087	0.023717
RNF31	4.775064	4.102311	0.000088	0.023810
SP5	4.758567	4.082621	0.000096	0.025464
IPO4	4.751232	4.073866	0.000099	0.026042
SMLR1	4.737594	4.057588	0.000106	0.027463
CTGF	4.733222	4.052369	0.000108	0.027630
MDP1	4.731041	4.049766	0.000110	0.027630
SPHK1	4.721403	4.038262	0.000115	0.028584
CAPZA2	4.710673	4.025455	0.000121	0.029727
CHMP4A	4.690153	4.000963	0.000133	0.032397
TP53INP2	4.685349	3.995228	0.000136	0.032510
ZNFX1	4.684376	3.994067	0.000137	0.032510
MSH5	4.681788	3.990978	0.000139	0.032526
SMPDL3A	4.674724	3.982546	0.000143	0.033183
AL139353.1	4.672698	3.980128	0.000145	0.033183
DTD2	4.658251	3.962884	0.000155	0.035059
LRP10	4.656294	3.960549	0.000157	0.035059
ANKS4B	4.646084	3.948362	0.000164	0.036381
AMBP	4.585923	3.876554	0.000218	0.047653
NFATC3	4.581554	3.871339	0.000222	0.047804
CP	4.580539	3.870127	0.000223	0.047804
MSH5-SAPCD1	4.576589	3.865413	0.000227	0.048039
HIST1H2BC	4.574868	3.863358	0.000229	0.048039
