regulator_symbol	regulator_id	target_symbol	2target_id	database	evidence	confidence
ABL1	25	SHC3	253358	kegg	Experimental	High
ABL1	25	STAT5B	26777	kegg	Experimental	High
ABL1	25	CBLB	2868	kegg	Experimental	High
ABL1	25	CBLC	223624	kegg	Experimental	High
ABL1	25	CD55	21604	kegg	Experimental	High
ABL1	25	CRK	21398	hprd,kegg	Experimental	High
ABL1	25	CRKL	21399	hprd,kegg	Experimental	High
ABL1	25	RAC3	25881	kegg	Experimental	High
ABL1	25	RB1	25925	hprd,kegg	Experimental	High
ABL1	25	SHC1	26464	kegg	Experimental	High
ABL1	25	SHC2	225759	kegg	Experimental	High
ABL1	25	SHC4	2399694	kegg	Experimental	High
ABL1	25	STAT5A	26776	kegg	Experimental	High
ABL1	25	CBL	2867	hprd,kegg	Experimental	High
ABL1	25	EPHA1	22041	kegg	Experimental	High
ABL1	25	EPHA2	21969	kegg	Experimental	High
ABL1	25	EPHA3	22042	kegg	Experimental	High
ABL1	25	EPHA4	22043	kegg	Experimental	High
ABL1	25	EPHA5	22044	kegg	Experimental	High
ABL1	25	EPHA6	2285220	kegg	Experimental	High
ABL1	25	EPHA7	22045	kegg	Experimental	High
ABL1	25	EPHA8	22046	kegg	Experimental	High
ABL1	25	EPHB1	22047	kegg	Experimental	High
ABL1	25	EPHB2	22048	hprd,kegg	Experimental	High
ABL1	25	EPHB3	22049	kegg	Experimental	High
ABL1	25	EPHB4	22050	kegg	Experimental	High
ABL1	25	EPHB6	22051	kegg	Experimental	High
ABL1	25	GRB2	22885	hprd,kegg	Experimental	High
ABL1	25	MYC	24609	kegg	Experimental	High
ABL1	25	NTRK1	24914	hprd,kegg	Experimental	High
ABL1	25	NTRK2	24915	kegg	Experimental	High
ABL1	25	NTRK3	24916	kegg	Experimental	High
ABL1	25	RAC1	25879	kegg	Experimental	High
ABL1	25	RAC2	25880	kegg	Experimental	High
AKT1	207	hsa-miR-125b	2MIMAT0000423	transmir	Experimental	High
AKT1	207	hsa-miR-155	2MIMAT0000646	transmir	Experimental	High
AKT1	207	hsa-miR-181c	2MIMAT0000258	transmir	Experimental	High
AKT1	207	hsa-miR-22	2MIMAT0000077	transmir	Experimental	High
AKT2	208	hsa-miR-22	2MIMAT0000077	transmir	Experimental	High
AKT3	10000	hsa-miR-22	2MIMAT0000077	transmir	Experimental	High
APBB1	322	APP	2351	hprd,kegg	Experimental	High
APC	324	TBL1Y	290665	kegg	Experimental	High
APC	324	ARHGEF4	250649	hprd,kegg	Experimental	High
APC	324	AXIN1	28312	hprd,kegg	Experimental	High
APC	324	AXIN2	28313	hprd,kegg	Experimental	High
APC	324	CTNNB1	21499	hprd,kegg	Experimental	High
APC	324	DVL1	21855	kegg	Experimental	High
APC	324	DVL2	21856	kegg	Experimental	High
APC	324	DVL3	21857	kegg	Experimental	High
APC	324	TBL1XR1	279718	kegg	Experimental	High
APC	324	TBL1X	26907	kegg	Experimental	High
AR	367	RPE65	26121	tred	Experimental	High
AR	367	hsa-miR-216a	2MIMAT0000273	transmir	Experimental	High
AR	367	VEGFA	27422	tred	Experimental	High
AR	367	KLK3	2354	tred,kegg	Experimental	High
AR	367	MAPK3	25595	kegg	Experimental	High
AR	367	MAPK1	25594	hprd,kegg	Experimental	High
AR	367	HSP90B1	27184	kegg	Experimental	High
AR	367	HSP90AB1	23326	kegg	Experimental	High
AR	367	HSP90AA1	23320	hprd,kegg	Experimental	High
AR	367	AR	2367	hprd,kegg	Experimental	High
AR	367	ABCB1	25243	tred	Experimental	High
AR	367	ACAA1	230	tred	Experimental	High
AR	367	ACOX1	251	tred	Experimental	High
AR	367	ACOX2	28309	tred	Experimental	High
AR	367	ACPP	255	tred	Experimental	High
AR	367	ACSL1	22180	tred	Experimental	High
AR	367	ADAM28	210863	tred	Experimental	High
AR	367	ADAMTS3	29508	tred	Experimental	High
AR	367	ADAMTS4	29507	tred	Experimental	High
AR	367	ADIPOQ	29370	tred	Experimental	High
AR	367	ADIPOR1	251094	tred	Experimental	High
AR	367	ADIPOR2	279602	tred	Experimental	High
AR	367	AKR1B1	2231	tred	Experimental	High
AR	367	AKT1	2207	tred	Experimental	High
AR	367	ALB	2213	tred	Experimental	High
AR	367	ALPP	2250	tred	Experimental	High
AR	367	AMH	2268	tred	Experimental	High
AR	367	ANGPTL4	251129	tred	Experimental	High
AR	367	APOA1	2335	tred	Experimental	High
AR	367	APOB	2338	tred	Experimental	High
AR	367	APOBR	255911	tred	Experimental	High
AR	367	APOC3	2345	tred	Experimental	High
AR	367	APOE	2348	tred	Experimental	High
AR	367	AR	2367	tred	Experimental	High
AR	367	AREG	2374	tred	Experimental	High
AR	367	ASB2	251676	tred	Experimental	High
AR	367	ATP2A2	2488	tred	Experimental	High
AR	367	AVP	2551	tred	Experimental	High
AR	367	BCL2	2596	tred	Experimental	High
AR	367	BTF3P11	2690	tred	Experimental	High
AR	367	C21orf33	28209	tred	Experimental	High
AR	367	CASP3	2836	tred	Experimental	High
AR	367	CCND1	2595	tred	Experimental	High
AR	367	CCND2	2894	tred	Experimental	High
AR	367	CCNG1	2900	tred	Experimental	High
AR	367	CD36	2948	tred	Experimental	High
AR	367	CD38	2952	tred	Experimental	High
AR	367	CD40	2958	tred	Experimental	High
AR	367	CD83	29308	tred	Experimental	High
AR	367	CDH13	21012	tred	Experimental	High
AR	367	CDK7	21022	tred	Experimental	High
AR	367	CDKN1A	21026	tred	Experimental	High
AR	367	CETP	21071	tred	Experimental	High
AR	367	CITED2	210370	tred	Experimental	High
AR	367	CPT1A	21374	tred	Experimental	High
AR	367	CPT1B	21375	tred	Experimental	High
AR	367	CPT2	21376	tred	Experimental	High
AR	367	CRABP2	21382	tred	Experimental	High
AR	367	CYP19A1	21588	tred	Experimental	High
AR	367	CYP1A1	21543	tred	Experimental	High
AR	367	CYP26A1	21592	tred	Experimental	High
AR	367	CYP27A1	21593	tred	Experimental	High
AR	367	CYP4A11	21579	tred	Experimental	High
AR	367	CYP7A1	21581	tred	Experimental	High
AR	367	DBI	21622	tred	Experimental	High
AR	367	DHRS4	210901	tred	Experimental	High
AR	367	DRD1	21812	tred	Experimental	High
AR	367	ECM1	21893	tred	Experimental	High
AR	367	EDN1	21906	tred	Experimental	High
AR	367	EGFR	21956	tred	Experimental	High
AR	367	ELF4	22000	tred	Experimental	High
AR	367	ELK1	22002	tred	Experimental	High
AR	367	ESR1	22099	tred	Experimental	High
AR	367	ESR2	22100	tred	Experimental	High
AR	367	ETS1	22113	tred	Experimental	High
AR	367	F9	22158	tred	Experimental	High
AR	367	FABP1	22168	tred	Experimental	High
AR	367	FABP3	22170	tred	Experimental	High
AR	367	FADS2	29415	tred	Experimental	High
