g.name	raw.score	z.score	p.value	q.value
ID1	6.333192	8.728739	0.000000	0.000000
AHCY	5.010991	6.567275	0.000000	0.000002
SRC	4.863068	6.325458	0.000000	0.000005
BCL2L1	4.785923	6.199346	0.000000	0.000009
ZMYND8	4.752682	6.145005	0.000000	0.000010
HNMT	4.667300	6.005428	0.000000	0.000020
SRP54	4.623723	5.934190	0.000000	0.000026
PTP4A1	4.539857	5.797090	0.000000	0.000050
ASXL1	4.366116	5.513067	0.000000	0.000222
STRN3	4.263385	5.345128	0.000000	0.000497
AP4S1	4.251520	5.325732	0.000000	0.000501
HECTD1	4.228079	5.287412	0.000000	0.000563
CEBPB	4.210160	5.258118	0.000000	0.000606
RNASE4	4.191850	5.228187	0.000000	0.000659
ANG	4.180685	5.209934	0.000001	0.000676
BPIFB2	4.163651	5.182088	0.000001	0.000728
PNN	4.157294	5.171696	0.000001	0.000728
AL163636.2	4.127371	5.122779	0.000001	0.000871
NBPF1	4.122729	5.115191	0.000001	0.000871
TXNDC11	4.110866	5.095798	0.000001	0.000903
AJUBA	4.101234	5.080052	0.000001	0.000903
NRL	4.100790	5.079327	0.000001	0.000903
CTDSP1	4.073283	5.034359	0.000001	0.001032
MAP1LC3B	4.069291	5.027833	0.000001	0.001032
CARHSP1	4.069174	5.027643	0.000001	0.001032
DCAF11	4.059956	5.012573	0.000001	0.001070
AL132780.3	4.049045	4.994736	0.000002	0.001127
RALGAPA1	4.024932	4.955317	0.000002	0.001322
FOXA1	4.007623	4.927022	0.000002	0.001468
TTC6	3.989069	4.896691	0.000002	0.001647
RBCK1	3.957777	4.845536	0.000003	0.002044
TRAPPC6B	3.933664	4.806117	0.000004	0.002395
NFKBIA	3.908258	4.764585	0.000005	0.002833
RBM39	3.901306	4.753220	0.000005	0.002903
SEPHS2	3.879479	4.717539	0.000006	0.003339
TRIB3	3.815655	4.613202	0.000010	0.005282
ROCK2	3.805863	4.597195	0.000010	0.005532
HEATR5A	3.801230	4.589622	0.000011	0.005578
SAMHD1	3.793223	4.576532	0.000011	0.005771
ADGRG6	3.780465	4.555675	0.000012	0.006188
NDE1	3.774129	4.545318	0.000013	0.006329
PRM3	3.753068	4.510889	0.000015	0.007220
MARF1	3.749868	4.505657	0.000016	0.007221
IGFBP1	3.729516	4.472388	0.000018	0.008034
APOB	3.729122	4.471744	0.000018	0.008034
MIA2	3.722748	4.461323	0.000019	0.008234
SPHK1	3.713277	4.445840	0.000020	0.008634
SYNJ2	3.698219	4.421225	0.000023	0.009429
