g.name	raw.score	z.score	p.value	q.value
AXL	1.261169	6.960271	0.000000	0.000000
ANXA2	1.235762	6.767813	0.000000	0.000000
ZFP36	1.207861	6.556458	0.000000	0.000001
FAM174B	1.201591	6.508961	0.000000	0.000001
ITPKC	1.159085	6.186981	0.000000	0.000008
AKR1B10	1.052693	5.381055	0.000000	0.000683
COQ8B	1.036857	5.261097	0.000000	0.001109
UBC	1.010099	5.058399	0.000001	0.002761
KYNU	0.990478	4.909770	0.000002	0.004652
USP3	0.989376	4.901423	0.000002	0.004652
S100A10	0.987799	4.889474	0.000003	0.004652
ACTN4	0.966763	4.730129	0.000006	0.009177
