g.name	raw.score	z.score	p.value	q.value
ID1	9.182564	6.447049	0.000000	0.000007
AJUBA	8.631458	5.954253	0.000000	0.000055
AL132780.3	8.625622	5.949034	0.000000	0.000055
NFKBIA	8.189734	5.559264	0.000000	0.000387
PNN	8.041979	5.427142	0.000000	0.000507
HECTD1	8.028246	5.414862	0.000000	0.000507
DCAF11	8.020502	5.407938	0.000000	0.000507
EMC9	7.968665	5.361586	0.000000	0.000569
IRF2BP1	7.795634	5.206862	0.000001	0.001121
GPX4	7.777627	5.190760	0.000001	0.001121
NBPF1	7.728758	5.147061	0.000001	0.001277
ZMYND8	7.709061	5.129449	0.000001	0.001282
NRL	7.560206	4.996343	0.000002	0.002321
PCK2	7.477165	4.922088	0.000002	0.003032
TINF2	7.467606	4.913541	0.000002	0.003032
RNF31	7.400508	4.853541	0.000003	0.003810
CTDSP1	7.369175	4.825524	0.000004	0.004006
TTC6	7.361668	4.818811	0.000004	0.004006
ZNF668	7.314438	4.776578	0.000004	0.004648
MGME1	7.262865	4.730462	0.000006	0.005276
TRAPPC6B	7.256254	4.724550	0.000006	0.005276
HEATR5A	7.250059	4.719011	0.000006	0.005276
FOXA1	7.211276	4.684331	0.000007	0.005522
RBM39	7.209067	4.682356	0.000007	0.005522
ROMO1	7.191819	4.666932	0.000007	0.005522
NFS1	7.191768	4.666887	0.000007	0.005522
SRP54	7.190372	4.665639	0.000007	0.005522
PSME1	7.171631	4.648880	0.000008	0.005757
SNX5	7.157571	4.636308	0.000009	0.005865
ZNF646	7.150529	4.630011	0.000009	0.005865
THAP11	7.137151	4.618049	0.000009	0.005998
MZT2A	7.092315	4.577956	0.000011	0.006987
PPP1R3E	7.082300	4.569001	0.000012	0.007059
AL136295.1	7.029806	4.522061	0.000014	0.008296
DHRS2	7.028079	4.520517	0.000015	0.008296
ZFP36L2	6.957158	4.457100	0.000019	0.010339
TM9SF1	6.952807	4.453209	0.000020	0.010339
BCL2L2-PABPN1	6.952696	4.453109	0.000020	0.010339
NEDD8	6.926834	4.429984	0.000022	0.010966
AL121845.2	6.924964	4.428312	0.000022	0.010966
CEBPA	6.904924	4.410392	0.000024	0.011317
GMPR2	6.900896	4.406791	0.000024	0.011317
CHMP4A	6.898683	4.404812	0.000024	0.011317
PRPSAP1	6.858637	4.369003	0.000029	0.012941
BCL2L1	6.846986	4.358584	0.000030	0.013101
KHNYN	6.844083	4.355988	0.000030	0.013101
NEDD8-MDP1	6.836849	4.349520	0.000031	0.013188
PSME2	6.809419	4.324992	0.000035	0.014121
CBLN3	6.808486	4.324157	0.000035	0.014121
SOX18	6.781950	4.300430	0.000038	0.015329
TCEA2	6.764520	4.284844	0.000041	0.016069
SPAG4	6.743348	4.265911	0.000045	0.017088
THTPA	6.670991	4.201210	0.000059	0.021854
BPIFB2	6.667525	4.198111	0.000059	0.021854
ZFHX2	6.663493	4.194505	0.000060	0.021854
MDP1	6.617828	4.153672	0.000072	0.025452
IPO4	6.602510	4.139974	0.000076	0.026467
PABPN1	6.596642	4.134727	0.000077	0.026582
DHRS1	6.589434	4.128282	0.000079	0.026836
NOP9	6.569344	4.110318	0.000086	0.028416
STRN3	6.563928	4.105474	0.000087	0.028512
AP4S1	6.552425	4.095189	0.000091	0.029260
ASXL1	6.484222	4.034202	0.000117	0.036530
HOMEZ	6.482625	4.032774	0.000117	0.036530
SP5	6.467383	4.019144	0.000124	0.037997
LIME1	6.454799	4.007892	0.000130	0.039150
RBCK1	6.428477	3.984355	0.000142	0.042369
AP1G2	6.415060	3.972357	0.000149	0.043295
AHCY	6.414126	3.971522	0.000150	0.043295
ATP6V0B	6.405851	3.964122	0.000154	0.043949
CARHSP1	6.401600	3.960322	0.000157	0.043987
ZNFX1	6.387538	3.947747	0.000165	0.045587
