g.name	raw.score	z.score	p.value	q.value
FAM174B	1.251759	8.401476	0.000000	0.000000
ZNF302	0.935769	5.566653	0.000000	0.000495
TGFBR2	0.897991	5.227736	0.000000	0.002311
AKR1B10	0.887952	5.137676	0.000001	0.002949
ZFP36	0.874880	5.020406	0.000001	0.003967
SHKBP1	0.874045	5.012914	0.000001	0.003967
ZNF780B	0.867439	4.953650	0.000002	0.003978
CEBPG	0.866028	4.940991	0.000002	0.003978
AXL	0.864559	4.927809	0.000002	0.003978
SCGB2B2	0.863842	4.921381	0.000002	0.003978
ZNF546	0.858017	4.869124	0.000003	0.004709
KYNU	0.852734	4.821731	0.000004	0.005206
ACTN4	0.852161	4.816589	0.000004	0.005206
