g.name	raw.score	z.score	p.value	q.value
FKBP5	10.899335	5.357336	0.000000	0.004656
ABCA2	9.992780	4.745454	0.000005	0.029726
NRARP	9.967048	4.728086	0.000006	0.029726
PTMA	9.945996	4.713877	0.000006	0.029726
TTC22	9.659058	4.520207	0.000015	0.048539
FOSL2	9.563936	4.456005	0.000019	0.048539
ZFP36L2	9.541203	4.440661	0.000021	0.048539
SOCS1	9.537211	4.437967	0.000021	0.048539
WNK1	9.498332	4.411726	0.000024	0.048539
NBPF1	9.456912	4.383769	0.000027	0.048539
CCDC107	9.456798	4.383692	0.000027	0.048539
