g.name	raw.score	z.score	p.value	q.value
ID1	4.054229	6.127356	0.000000	0.000056
MRPS23	3.951615	5.932252	0.000000	0.000091
AJUBA	3.857214	5.752765	0.000000	0.000140
ZMYND8	3.826956	5.695235	0.000000	0.000140
EMC9	3.815648	5.673735	0.000000	0.000140
AL132780.3	3.812732	5.668191	0.000000	0.000140
DCAF11	3.717178	5.486511	0.000000	0.000330
IPO4	3.543001	5.155343	0.000001	0.001602
CEBPB	3.529789	5.130223	0.000001	0.001602
LAMA5	3.525223	5.121542	0.000001	0.001602
RNF31	3.471466	5.019332	0.000001	0.002445
BPIFB2	3.454861	4.987760	0.000002	0.002498
AL121845.2	3.451605	4.981570	0.000002	0.002498
TTC6	3.331671	4.753536	0.000005	0.007039
TCEA2	3.308322	4.709142	0.000006	0.008106
CNBD2	3.296414	4.686500	0.000007	0.008452
NRL	3.288633	4.671707	0.000007	0.008525
ZNF335	3.272394	4.640831	0.000008	0.009002
POLR3E	3.269915	4.636117	0.000009	0.009002
FOXA1	3.260911	4.618997	0.000009	0.009257
PCK2	3.243847	4.586553	0.000011	0.010236
CPPED1	3.231361	4.562814	0.000012	0.010891
SOX18	3.208929	4.520163	0.000015	0.012266
LIME1	3.203748	4.510312	0.000015	0.012266
TINF2	3.198855	4.501009	0.000016	0.012266
SOCS1	3.198179	4.499724	0.000016	0.012266
PSME2	3.184496	4.473708	0.000018	0.013004
UCKL1	3.182630	4.470159	0.000018	0.013004
HEATR5A	3.171132	4.448299	0.000020	0.013841
STX16	3.159714	4.426589	0.000022	0.014192
AP1G2	3.159080	4.425384	0.000022	0.014192
RBM39	3.156491	4.420462	0.000023	0.014192
NFKBIA	3.129130	4.368439	0.000029	0.017003
THTPA	3.127454	4.365252	0.000029	0.017003
ZFHX2	3.124103	4.358882	0.000030	0.017003
CDH24	3.111884	4.335649	0.000033	0.018287
CTDSP1	3.099734	4.312548	0.000037	0.019662
PPP1R3E	3.073822	4.263280	0.000045	0.023648
HECTD1	3.055432	4.228315	0.000052	0.026729
CARHSP1	3.048557	4.215243	0.000055	0.027540
SLC2A4RG	3.009590	4.141155	0.000075	0.036616
ADRM1	3.003585	4.129737	0.000079	0.037473
RRBP1	2.998153	4.119408	0.000082	0.038194
STX16-NPEPL1	2.993641	4.110830	0.000085	0.038667
BCL2L2-PABPN1	2.976951	4.079097	0.000097	0.043055
MGME1	2.963733	4.053965	0.000108	0.046651
CBLN3	2.960298	4.047434	0.000111	0.046882
SLC17A9	2.953975	4.035411	0.000116	0.047322
PET117	2.953658	4.034810	0.000116	0.047322
