ID1	3.007637	16.774629	0.000000	0.000000
CAMKMT	1.800569	9.288259	0.000000	0.000000
PREPL	1.791405	9.231424	0.000000	0.000000
RNF187	1.749260	8.970036	0.000000	0.000000
NFKBIA	1.544203	7.698247	0.000000	0.000000
AL132780.3	1.495449	7.395874	0.000000	0.000000
AJUBA	1.476205	7.276520	0.000000	0.000000
CNPY4	1.442972	7.070405	0.000000	0.000000
CDCA7	1.433930	7.014326	0.000000	0.000000
ID2	1.424510	6.955901	0.000000	0.000000
MAP1LC3B	1.408305	6.855394	0.000000	0.000000
IRF2BP2	1.396953	6.784989	0.000000	0.000000
NR1D1	1.380639	6.683805	0.000000	0.000000
RPL32	1.367677	6.603418	0.000000	0.000000
AXIN2	1.327671	6.355294	0.000000	0.000001
SP5	1.296780	6.163703	0.000000	0.000003
ZMYND8	1.295885	6.158152	0.000000	0.000003
APOB	1.281858	6.071156	0.000000	0.000004
DCAF11	1.277475	6.043969	0.000000	0.000005
NRL	1.268979	5.991279	0.000000	0.000006
SPATA20	1.241422	5.820366	0.000000	0.000017
CDC40	1.239570	5.808880	0.000000	0.000017
ROCK2	1.226870	5.730114	0.000000	0.000026
OSTC	1.191345	5.509784	0.000000	0.000085
MLLT6	1.170516	5.380597	0.000000	0.000164
HNMT	1.161416	5.324164	0.000000	0.000214
RBM39	1.152379	5.268110	0.000000	0.000270
TTC6	1.151604	5.263309	0.000000	0.000270
ID3	1.150926	5.259099	0.000000	0.000270
RIOK2	1.147999	5.240946	0.000000	0.000288
TAF6	1.146557	5.232006	0.000000	0.000292
WASF1	1.142169	5.204788	0.000001	0.000326
ZNFX1	1.140007	5.191380	0.000001	0.000339
FOXA1	1.138361	5.181174	0.000001	0.000344
NAGPA	1.137691	5.177015	0.000001	0.000344
TINF2	1.135711	5.164734	0.000001	0.000356
AL049839.2	1.134786	5.158998	0.000001	0.000357
SRP54	1.127970	5.116725	0.000001	0.000432
PNN	1.119728	5.065609	0.000001	0.000546
PHF5A	1.118072	5.055337	0.000001	0.000561
ALG1	1.089592	4.878702	0.000003	0.001315
HLA-DMA	1.084226	4.845417	0.000003	0.001510
DUSP1	1.077403	4.803104	0.000004	0.001809
PPP1R3E	1.074919	4.787699	0.000004	0.001890
ACO2	1.073852	4.781076	0.000004	0.001890
RBCK1	1.073654	4.779854	0.000004	0.001890
EFNA1	1.066290	4.734178	0.000005	0.002299
CEBPB	1.058423	4.685385	0.000007	0.002832
PCK2	1.046469	4.611248	0.000010	0.003916
BRD2	1.042604	4.587275	0.000011	0.004285
DHRS1	1.040020	4.571252	0.000012	0.004467
CLIC1	1.039207	4.566209	0.000012	0.004467
NOP9	1.039082	4.565430	0.000012	0.004467
HECTD1	1.030167	4.510141	0.000015	0.005635
IPO4	1.025580	4.481689	0.000017	0.006287
NR0B2	1.022778	4.464314	0.000019	0.006562
ARHGAP5	1.022753	4.464157	0.000019	0.006562
ASXL1	1.016391	4.424699	0.000022	0.007685
HEATR5A	1.015205	4.417344	0.000023	0.007746
RRBP1	1.014864	4.415227	0.000023	0.007746
NEDD8	1.008365	4.374922	0.000028	0.009096
AP4S1	1.002817	4.340510	0.000032	0.010397
SPATA2	0.999986	4.322951	0.000035	0.011040
SPHK1	0.999342	4.318960	0.000036	0.011057
TXNDC11	0.996866	4.303606	0.000038	0.011632
EMC9	0.994292	4.287641	0.000041	0.012247
GMPR2	0.993795	4.284555	0.000041	0.012247
FBXO33	0.991499	4.270319	0.000044	0.012645
STRN3	0.991481	4.270203	0.000044	0.012645
ADRM1	0.990926	4.266763	0.000044	0.012648
NEURL2	0.990108	4.261689	0.000045	0.012743
PRPSAP1	0.986895	4.241763	0.000049	0.013677
BCL2L2-PABPN1	0.985514	4.233196	0.000051	0.013851
AL121845.2	0.985371	4.232312	0.000051	0.013851
ZFP36L2	0.984672	4.227974	0.000052	0.013919
MSH5	0.983564	4.221102	0.000054	0.014141
AHCY	0.976119	4.174931	0.000065	0.016942
AL136295.4	0.974728	4.166303	0.000068	0.017338
CTSA	0.973660	4.159675	0.000070	0.017597
TRAPPC6B	0.967757	4.123067	0.000081	0.020222
NEDD8-MDP1	0.966896	4.117724	0.000083	0.020417
KIAA0391	0.966112	4.112863	0.000085	0.020576
MGME1	0.965323	4.107970	0.000086	0.020741
MSH5-SAPCD1	0.963287	4.095342	0.000091	0.021583
SLC17A9	0.962347	4.089514	0.000093	0.021844
CTDSP1	0.959037	4.068982	0.000101	0.023476
SNX5	0.955420	4.046552	0.000111	0.025418
PABPN1	0.953040	4.031789	0.000118	0.026673
AKAP1	0.947957	4.000266	0.000134	0.029933
LTB4R2	0.947451	3.997125	0.000135	0.029974
SLC2A4RG	0.946896	3.993683	0.000137	0.030055
APOA1	0.944744	3.980339	0.000145	0.031353
GZF1	0.943759	3.974225	0.000148	0.031462
TP53INP2	0.943732	3.974061	0.000148	0.031462
PTP4A1	0.939683	3.948945	0.000164	0.034387
MYADM	0.939080	3.945211	0.000166	0.034534
SRXN1	0.929568	3.886212	0.000210	0.043061
MKKS	0.926537	3.867414	0.000225	0.045844
LIME1	0.923541	3.848833	0.000242	0.048753
