g.name	raw.score	z.score	p.value	q.value
AL132780.3	5.175792	6.777423	0.000000	0.000000
AJUBA	5.173644	6.773904	0.000000	0.000000
PCK2	5.045803	6.564454	0.000000	0.000001
ID1	4.775645	6.121837	0.000000	0.000014
PNN	4.678346	5.962426	0.000000	0.000030
EMC9	4.557693	5.764753	0.000000	0.000073
TINF2	4.552454	5.756168	0.000000	0.000073
HECTD1	4.466506	5.615354	0.000000	0.000132
DCAF11	4.460977	5.606296	0.000000	0.000132
ZMYND8	4.392855	5.494687	0.000000	0.000221
TM9SF1	4.284669	5.317440	0.000000	0.000524
C14orf119	4.240896	5.245723	0.000000	0.000675
BPIFB2	4.235940	5.237603	0.000000	0.000675
NFKBIA	4.215138	5.203523	0.000001	0.000710
RNF31	4.213341	5.200579	0.000001	0.000710
NRL	4.198497	5.176258	0.000001	0.000755
IGFBP1	4.185676	5.155253	0.000001	0.000783
IPO4	4.169354	5.128512	0.000001	0.000783
PPP1R3E	4.168446	5.127025	0.000001	0.000783
THTPA	4.167745	5.125875	0.000001	0.000783
AL136295.1	4.140358	5.081005	0.000001	0.000938
ZFHX2	4.116897	5.042568	0.000001	0.001087
NBPF1	4.099895	5.014713	0.000001	0.001197
STRN3	4.006865	4.862295	0.000003	0.002434
DHRS1	4.001720	4.853865	0.000003	0.002435
PRMT5	3.996594	4.845469	0.000003	0.002438
AP4S1	3.988429	4.832090	0.000003	0.002505
NOP9	3.980393	4.818925	0.000004	0.002574
RBCK1	3.950112	4.769314	0.000005	0.003152
NFS1	3.930767	4.737619	0.000005	0.003543
CHMP4A	3.920561	4.720898	0.000006	0.003711
POLR3E	3.913150	4.708756	0.000006	0.003807
ROMO1	3.908876	4.701753	0.000006	0.003815
RBM39	3.899333	4.686120	0.000007	0.003977
SRP54	3.895806	4.680340	0.000007	0.003977
FOXA1	3.886133	4.664492	0.000008	0.004072
CBLN3	3.885463	4.663394	0.000008	0.004072
TRAPPC6B	3.874991	4.646237	0.000008	0.004294
BCL2L2-PABPN1	3.866345	4.632072	0.000009	0.004468
TTC6	3.862669	4.626050	0.000009	0.004480
LTB4R2	3.854326	4.612381	0.000010	0.004593
DHRS2	3.852936	4.610103	0.000010	0.004593
KIAA0391	3.840502	4.589733	0.000011	0.004926
HOMEZ	3.827048	4.567690	0.000012	0.005326
NEDD8	3.819252	4.554917	0.000012	0.005520
GMPR2	3.789856	4.506756	0.000016	0.006717
ACIN1	3.764687	4.465520	0.000019	0.007800
AHCY	3.763716	4.463929	0.000019	0.007800
PSME2	3.757560	4.453843	0.000020	0.007992
LRP10	3.751023	4.443133	0.000021	0.008215
NEDD8-MDP1	3.747227	4.436914	0.000021	0.008279
MAP1LC3B	3.740611	4.426074	0.000022	0.008519
ZNFX1	3.736170	4.418799	0.000023	0.008632
KHNYN	3.727846	4.405160	0.000024	0.008997
MDP1	3.719403	4.391328	0.000026	0.009263
PSME1	3.716920	4.387260	0.000026	0.009263
PABPN1	3.716302	4.386248	0.000026	0.009263
BCL2L2	3.709957	4.375852	0.000028	0.009527
HEATR5A	3.705359	4.368319	0.000029	0.009662
MGME1	3.703264	4.364887	0.000029	0.009662
