g.name	raw.score	z.score	p.value	q.value
ID1	6.162735	10.193847	0.000000	0.000000
IGFBP1	5.280352	8.513910	0.000000	0.000000
PCK2	4.512320	7.051683	0.000000	0.000000
DCAF11	4.433339	6.901315	0.000000	0.000000
EMC9	4.137963	6.338959	0.000000	0.000003
BPIFB2	4.117980	6.300914	0.000000	0.000003
CTDSP1	4.083694	6.235639	0.000000	0.000004
HECTD1	3.968531	6.016383	0.000000	0.000014
ZMYND8	3.903761	5.893070	0.000000	0.000025
AJUBA	3.889446	5.865818	0.000000	0.000027
AL132780.3	3.794507	5.685067	0.000000	0.000069
FLOT1	3.781576	5.660447	0.000000	0.000073
DHRS2	3.752816	5.605693	0.000000	0.000092
TTI2	3.711578	5.527181	0.000000	0.000132
NRL	3.680085	5.467223	0.000000	0.000171
TINF2	3.655521	5.420455	0.000000	0.000207
RNF31	3.641746	5.394230	0.000000	0.000225
WDR74	3.609889	5.333578	0.000000	0.000294
POLDIP3	3.574148	5.265533	0.000000	0.000399
AL136295.1	3.553588	5.226390	0.000000	0.000465
AHSG	3.531908	5.185115	0.000001	0.000550
IPO4	3.517762	5.158183	0.000001	0.000603
PSME1	3.501688	5.127579	0.000001	0.000651
FTL	3.501048	5.126360	0.000001	0.000651
PABPN1	3.491521	5.108223	0.000001	0.000661
SRP54	3.491206	5.107624	0.000001	0.000661
TCEA2	3.482465	5.090981	0.000001	0.000693
HIST1H2BC	3.466245	5.060101	0.000001	0.000782
SOX18	3.441674	5.013321	0.000001	0.000956
CEBPB	3.360533	4.858840	0.000003	0.001939
SRC	3.359284	4.856462	0.000003	0.001939
IER3	3.342745	4.824974	0.000004	0.002142
AL121845.2	3.341654	4.822897	0.000004	0.002142
PRMT5	3.337280	4.814569	0.000004	0.002165
KHNYN	3.333326	4.807040	0.000004	0.002180
BRMS1L	3.327537	4.796020	0.000004	0.002232
PPP1R3E	3.324676	4.790572	0.000004	0.002232
HIST1H1E	3.305593	4.754241	0.000005	0.002585
PNN	3.290872	4.726215	0.000006	0.002876
TTC6	3.280101	4.705708	0.000006	0.003089
DDIT4	3.262798	4.672765	0.000007	0.003517
ZNFX1	3.246051	4.640881	0.000008	0.003871
HEATR5A	3.245734	4.640278	0.000008	0.003871
BCL2L2-PABPN1	3.244009	4.636994	0.000009	0.003871
PSME2	3.234705	4.619281	0.000009	0.004109
CHMP4A	3.225712	4.602159	0.000010	0.004350
C14orf119	3.216054	4.583772	0.000011	0.004632
FOXA1	3.211580	4.575254	0.000011	0.004716
NFKBIA	3.205289	4.563277	0.000012	0.004880
TM9SF1	3.180911	4.516863	0.000015	0.005805
DEPP1	3.180569	4.516214	0.000015	0.005805
HIST1H2AC	3.139678	4.438362	0.000021	0.008068
CBLN3	3.119558	4.400056	0.000025	0.009376
