g.name	raw.score	z.score	p.value	q.value
FAM174B	1.825884	9.786937	0.000000	0.000000
TRIM55	1.697319	8.936033	0.000000	0.000000
ZFP36	1.505899	7.669130	0.000000	0.000000
DUSP1	1.448820	7.291358	0.000000	0.000000
AMIGO2	1.402657	6.985829	0.000000	0.000000
PCED1B	1.369013	6.763158	0.000000	0.000000
KYNU	1.326777	6.483619	0.000000	0.000001
PLEKHG2	1.291003	6.246847	0.000000	0.000003
USP3	1.290129	6.241068	0.000000	0.000003
SCHIP1	1.265948	6.081023	0.000000	0.000007
AKR1B10	1.242916	5.928588	0.000000	0.000017
TOGARAM2	1.231249	5.851374	0.000000	0.000024
TRIB1	1.229214	5.837902	0.000000	0.000024
STOM	1.217143	5.758008	0.000000	0.000036
ID1	1.212152	5.724977	0.000000	0.000040
PLOD2	1.210642	5.714985	0.000000	0.000040
ZNF281	1.173964	5.472229	0.000000	0.000147
ACTN4	1.147539	5.297338	0.000000	0.000347
CCDC80	1.146742	5.292066	0.000000	0.000347
KPNA7	1.128202	5.169356	0.000001	0.000626
FTH1	1.124984	5.148061	0.000001	0.000666
SUPT5H	1.101063	4.989738	0.000002	0.001417
RPS16	1.095386	4.952165	0.000002	0.001634
PON2	1.088193	4.904558	0.000002	0.001980
IRF2BP2	1.074673	4.815080	0.000004	0.002937
ANXA2	1.073348	4.806311	0.000004	0.002945
FOSL2	1.068031	4.771121	0.000005	0.003357
CEBPG	1.063306	4.739843	0.000005	0.003756
RBCK1	1.059071	4.711814	0.000006	0.004140
CBX4	1.054812	4.683626	0.000007	0.004569
BCL3	1.050339	4.654023	0.000008	0.005077
GSAP	1.047250	4.633583	0.000009	0.005399
AC008982.1	1.046300	4.627293	0.000009	0.005399
RHCG	1.033538	4.542827	0.000013	0.007676
UBC	1.032757	4.537656	0.000013	0.007676
RHOB	1.024908	4.485709	0.000017	0.009434
ABCC3	1.023151	4.474085	0.000018	0.009670
B4GALT1	1.010096	4.387681	0.000026	0.013807
SEMA4B	1.000344	4.323135	0.000035	0.017820
FGL1	0.999077	4.314746	0.000036	0.018016
HAVCR1	0.996456	4.297405	0.000039	0.018939
ECH1	0.990802	4.259979	0.000046	0.021699
GPATCH1	0.988803	4.246749	0.000048	0.022421
NBPF1	0.985567	4.225332	0.000053	0.023993
SRI	0.972267	4.137310	0.000077	0.033897
ITGB1	0.971231	4.130449	0.000079	0.034114
HGD	0.968720	4.113833	0.000084	0.035755
TRAM1	0.967927	4.108582	0.000086	0.035774
BHLHE40	0.962688	4.073907	0.000099	0.039465
FCGBP	0.962139	4.070275	0.000101	0.039465
ITPKC	0.962058	4.069741	0.000101	0.039465
AXL	0.960422	4.058910	0.000106	0.039847
RPS19	0.960234	4.057670	0.000106	0.039847
CHD2	0.959574	4.053300	0.000108	0.039847
SMAD6	0.955534	4.026560	0.000120	0.043456
NEMP2	0.954969	4.022824	0.000122	0.043456
COQ8B	0.951744	4.001477	0.000133	0.046511
