g.name	raw.score	z.score	p.value	q.value
AL132780.3	7.095686	6.690127	0.000000	0.000001
AJUBA	7.007182	6.573511	0.000000	0.000001
PNN	6.360591	5.721537	0.000000	0.000155
DCAF11	6.255805	5.583465	0.000000	0.000270
EMC9	6.199755	5.509611	0.000000	0.000302
NOP9	6.179150	5.482462	0.000000	0.000302
DHRS1	6.175900	5.478180	0.000000	0.000302
RBM39	6.082334	5.354894	0.000000	0.000520
TRAPPC6B	6.068412	5.336549	0.000000	0.000520
NRL	5.968197	5.204502	0.000001	0.000949
CDH24	5.914754	5.134084	0.000001	0.001251
TINF2	5.862747	5.065557	0.000001	0.001638
LTB4R2	5.815538	5.003352	0.000001	0.002047
PCK2	5.804890	4.989321	0.000002	0.002047
RNF31	5.797708	4.979858	0.000002	0.002047
THTPA	5.768601	4.941506	0.000002	0.002331
IPO4	5.756823	4.925987	0.000002	0.002376
ROMO1	5.716819	4.873276	0.000003	0.002737
DHRS2	5.715599	4.871668	0.000003	0.002737
PSME2	5.699764	4.850803	0.000003	0.002737
ZFHX2	5.698930	4.849704	0.000003	0.002737
NFS1	5.696824	4.846930	0.000003	0.002737
AP1G2	5.636307	4.767190	0.000005	0.003753
AL136295.4	5.633786	4.763868	0.000005	0.003753
KHNYN	5.568884	4.678351	0.000007	0.005404
CBLN3	5.540119	4.640448	0.000008	0.006209
ID1	5.532424	4.630309	0.000009	0.006275
PSME1	5.523026	4.617927	0.000009	0.006416
PSMB11	5.458316	4.532661	0.000014	0.009161
HEATR5A	5.449076	4.520487	0.000015	0.009368
C14orf119	5.436102	4.503392	0.000016	0.009803
