CDC7	12.600738	10.831094	0.000000	0.000000
NBPF1	9.694387	7.678274	0.000000	0.000000
ID1	9.524701	7.494198	0.000000	0.000000
AL132780.3	9.318596	7.270614	0.000000	0.000000
AJUBA	9.175550	7.115437	0.000000	0.000000
LTB4R2	7.550384	5.352451	0.000000	0.000797
KHNYN	7.180565	4.951270	0.000002	0.004811
CBLN3	7.176993	4.947395	0.000002	0.004811
PCK2	7.088666	4.851577	0.000003	0.006838
TINF2	7.014239	4.770839	0.000005	0.008647
NOP9	6.982767	4.736698	0.000005	0.008647
DHRS1	6.977202	4.730661	0.000006	0.008647
EMC9	6.964844	4.717255	0.000006	0.008647
DCAF11	6.958220	4.710069	0.000006	0.008647
LTB4R	6.870494	4.614904	0.000009	0.011831
CIDEB	6.869827	4.614181	0.000009	0.011831
PTMA	6.840170	4.582008	0.000011	0.012910
CEBPE	6.749400	4.483541	0.000017	0.019053
ACBD4	6.726340	4.458526	0.000019	0.020186
ZFP36L2	6.650105	4.375825	0.000028	0.027633
RNF31	6.619247	4.342350	0.000032	0.030042
PLCD3	6.612235	4.334743	0.000033	0.030042
CDH24	6.582507	4.302495	0.000038	0.033030
TMEM253	6.560930	4.279088	0.000042	0.034998
NRL	6.501879	4.215029	0.000055	0.044103
HOMEZ	6.489711	4.201829	0.000058	0.044830
BCL9L	6.454071	4.163166	0.000069	0.047804
ZFP36	6.452789	4.161776	0.000069	0.047804
AL136295.5	6.448405	4.157020	0.000071	0.047804
PPP1R3E	6.443954	4.152192	0.000072	0.047804
PRMT5	6.435324	4.142830	0.000075	0.048093
