g.name	raw.score	z.score	p.value	q.value
AL132780.3	9.309060	6.576313	0.000000	0.000001
PNN	9.281883	6.550426	0.000000	0.000001
AJUBA	9.223967	6.495262	0.000000	0.000001
ARHGAP5	9.173815	6.447492	0.000000	0.000001
AP4S1	8.956166	6.240182	0.000000	0.000004
NBPF1	8.952164	6.236371	0.000000	0.000004
STRN3	8.864685	6.153047	0.000000	0.000006
TRAPPC6B	8.816586	6.107233	0.000000	0.000007
ID1	8.795559	6.087204	0.000000	0.000007
TTC6	8.619436	5.919448	0.000000	0.000018
FOXA1	8.405771	5.715933	0.000000	0.000053
ZNFX1	8.289782	5.605453	0.000000	0.000092
DHRS2	8.193975	5.514198	0.000000	0.000132
KIAA0391	8.193772	5.514004	0.000000	0.000132
PPP2R3C	8.001420	5.330790	0.000000	0.000335
HECTD1	7.958408	5.289821	0.000000	0.000384
AL121594.1	7.951296	5.283047	0.000000	0.000384
ZMYND8	7.914954	5.248431	0.000000	0.000437
SRP54	7.882209	5.217241	0.000000	0.000484
SCFD1	7.871420	5.206965	0.000001	0.000484
UBE2I	7.864615	5.200483	0.000001	0.000484
DCAF11	7.815127	5.153346	0.000001	0.000591
AL139353.1	7.786259	5.125849	0.000001	0.000645
DTD2	7.780199	5.120077	0.000001	0.000645
NFKBIA	7.750168	5.091473	0.000001	0.000718
HEATR5A	7.727641	5.070016	0.000001	0.000771
HNMT	7.691091	5.035202	0.000001	0.000887
NRL	7.654565	5.000411	0.000001	0.001019
NFS1	7.645173	4.991465	0.000002	0.001031
ROMO1	7.603002	4.951297	0.000002	0.001218
MGME1	7.585796	4.934909	0.000002	0.001279
SNX5	7.561230	4.911510	0.000002	0.001392
C14orf119	7.497351	4.850665	0.000003	0.001818
RALGAPA1	7.467842	4.822558	0.000004	0.002023
ROCK2	7.458502	4.813662	0.000004	0.002053
SEC23A	7.411948	4.769319	0.000005	0.002471
USP31	7.379337	4.738257	0.000005	0.002789
MAP1LC3B	7.372730	4.731964	0.000005	0.002799
MBIP	7.340709	4.701464	0.000006	0.003152
EMC9	7.320222	4.681950	0.000007	0.003369
CBLN3	7.296213	4.659082	0.000008	0.003660
KHNYN	7.282066	4.645607	0.000008	0.003806
PCK1	7.247088	4.612290	0.000010	0.004340
TINF2	7.240452	4.605970	0.000010	0.004369
RBCK1	7.226316	4.592505	0.000010	0.004473
ACIN1	7.225144	4.591389	0.000011	0.004473
SNRPG	7.219871	4.586366	0.000011	0.004482
EIF1	7.201142	4.568527	0.000012	0.004764
UBE2V1	7.166987	4.535994	0.000014	0.005414
G2E3	7.158646	4.528049	0.000014	0.005503
BCL2L1	7.139545	4.509856	0.000015	0.005740
DHRS1	7.139421	4.509738	0.000015	0.005740
NOP9	7.135527	4.506028	0.000016	0.005740
PCK2	7.074499	4.447900	0.000020	0.007311
IPO4	7.069278	4.442926	0.000021	0.007341
DUSP1	7.021085	4.397023	0.000025	0.008835
