g.name	raw.score	z.score	p.value	q.value
ADI1	0.937194	7.508357	0.000000	0.000000
RPS6KB1	0.915328	7.284829	0.000000	0.000000
SAMHD1	0.878970	6.913158	0.000000	0.000000
PNN	0.865052	6.770881	0.000000	0.000000
GDF5	0.827743	6.389482	0.000000	0.000002
NFYA	0.816493	6.274474	0.000000	0.000003
TRAPPC6B	0.809286	6.200807	0.000000	0.000004
RALGAPB	0.800908	6.115157	0.000000	0.000007
SRP54	0.785244	5.955027	0.000000	0.000016
DAD1	0.773833	5.838383	0.000000	0.000026
SYS1-DBNDD2	0.773707	5.837093	0.000000	0.000026
PHF12	0.762328	5.720767	0.000000	0.000045
STRN3	0.762200	5.719461	0.000000	0.000045
GEMIN2	0.754948	5.645320	0.000000	0.000064
TOP1	0.737484	5.466796	0.000000	0.000158
SYS1	0.735796	5.449538	0.000000	0.000158
EIF2S2	0.735733	5.448892	0.000000	0.000158
AP4S1	0.733429	5.425347	0.000000	0.000166
ARHGAP5	0.732902	5.419958	0.000000	0.000166
SCFD1	0.731589	5.406530	0.000000	0.000170
CSTF1	0.723788	5.326787	0.000000	0.000249
AURKA	0.722818	5.316868	0.000000	0.000251
SEC23A	0.720549	5.293680	0.000000	0.000272
PIPOX	0.718091	5.268552	0.000000	0.000298
XRCC5	0.705574	5.140587	0.000001	0.000559
KDM8	0.704179	5.126335	0.000001	0.000579
CEP250	0.701197	5.095851	0.000001	0.000652
MBIP	0.691314	4.994812	0.000002	0.001022
DTD2	0.691158	4.993224	0.000002	0.001022
AL139353.1	0.687592	4.956764	0.000002	0.001185
ZNFX1	0.681916	4.898748	0.000002	0.001528
C14orf119	0.680537	4.884642	0.000003	0.001588
GZF1	0.677622	4.854845	0.000003	0.001782
ASNSD1	0.671247	4.789677	0.000004	0.002370
ACIN1	0.663577	4.711272	0.000006	0.003344
RBM12	0.655433	4.628019	0.000009	0.004673
CPNE1	0.655433	4.628019	0.000009	0.004673
FAM98A	0.654502	4.618499	0.000009	0.004702
SRSF1	0.654215	4.615563	0.000009	0.004702
G2E3	0.653426	4.607501	0.000010	0.004761
NFS1	0.650767	4.580315	0.000011	0.005250
AC015813.2	0.650330	4.575856	0.000011	0.005250
ROMO1	0.647347	4.545362	0.000013	0.005896
SDR39U1	0.643996	4.511104	0.000015	0.006733
PCIF1	0.642681	4.497657	0.000016	0.006997
HEATR5A	0.638831	4.458305	0.000019	0.008168
SPRTN	0.637755	4.447297	0.000020	0.008379
COCH	0.637356	4.443228	0.000021	0.008379
EXOC8	0.635770	4.427005	0.000022	0.008824
