g.name	raw.score	z.score	p.value	q.value
LY6G6F	6.336085	5.911196	0.000000	0.000078
LY6G6F-LY6G6D	6.320046	5.889670	0.000000	0.000078
IPO4	5.848966	5.257418	0.000000	0.001978
AL136295.4	5.718886	5.082833	0.000001	0.003902
THTPA	5.657221	5.000072	0.000001	0.004370
EMC9	5.612038	4.939430	0.000002	0.004370
ZFHX2	5.611524	4.938740	0.000002	0.004370
AJUBA	5.600277	4.923645	0.000002	0.004370
AL132780.3	5.598801	4.921664	0.000002	0.004370
ABHD16A	5.581363	4.898261	0.000002	0.004456
STK35	5.562431	4.872851	0.000003	0.004625
TINF2	5.484928	4.768832	0.000005	0.007049
