HIST1H4I	12.546459	6.295514	0.000000	0.000020
BHLHE40	11.979379	5.920524	0.000000	0.000097
ISCU	11.362966	5.512912	0.000000	0.000666
PDE4A	11.119271	5.351765	0.000000	0.001099
DUSP22	11.080851	5.326359	0.000000	0.001099
PRR14	10.834085	5.163182	0.000001	0.002155
TSPOAP1	10.751078	5.108292	0.000001	0.002448
NBPF1	10.639829	5.034727	0.000001	0.003111
PSMB8	10.471897	4.923679	0.000002	0.004807
HIST1H3D	10.365564	4.853365	0.000003	0.006101
LAPTM5	10.283022	4.798783	0.000004	0.007218
JUNB	9.930069	4.565388	0.000012	0.019734
ODF3B	9.867789	4.524204	0.000014	0.021966
RFTN1	9.837824	4.504389	0.000016	0.022305
CCDC85B	9.635435	4.370557	0.000028	0.037702
RPL23A	9.607260	4.351926	0.000031	0.038338
MGRN1	9.553761	4.316549	0.000036	0.041836
SART3	9.535593	4.304535	0.000038	0.041836
HIST1H3B	9.440169	4.241435	0.000049	0.048687
HIST1H2BJ	9.417527	4.226462	0.000053	0.048687
ESYT1	9.386853	4.206179	0.000057	0.048687
NEK8	9.385223	4.205101	0.000058	0.048687
CIRBP	9.384675	4.204738	0.000058	0.048687
CSK	9.379378	4.201235	0.000059	0.048687
