g.name	raw.score	z.score	p.value	q.value
ID1	11.886335	10.716383	0.000000	0.000000
WDR81	11.199946	10.023203	0.000000	0.000000
ID2	9.695344	8.503714	0.000000	0.000000
TP53INP2	9.542563	8.349421	0.000000	0.000000
AMBP	9.509035	8.315562	0.000000	0.000000
ZFAND3	9.221960	8.025646	0.000000	0.000000
REXO5	8.438928	7.234867	0.000000	0.000000
ZSWIM8	8.352687	7.147772	0.000000	0.000000
IGFBP1	8.281534	7.075915	0.000000	0.000000
ABHD4	8.208737	7.002398	0.000000	0.000000
ZNF821	7.981967	6.773385	0.000000	0.000000
PALB2	7.856421	6.646597	0.000000	0.000000
SPHK1	7.691454	6.479997	0.000000	0.000000
DCTN5	7.598457	6.386080	0.000000	0.000001
IDH1	7.526796	6.313710	0.000000	0.000001
TRIP4	7.525667	6.312570	0.000000	0.000001
AL121845.2	7.412812	6.198599	0.000000	0.000002
HEATR5A	7.323682	6.108587	0.000000	0.000003
SERPINE1	7.305139	6.089860	0.000000	0.000004
PCLAF	7.214379	5.998202	0.000000	0.000006
TMEM140	7.159417	5.942696	0.000000	0.000008
DNAJB2	7.119345	5.902228	0.000000	0.000010
TRAPPC6B	7.098917	5.881598	0.000000	0.000010
SIX5	7.095487	5.878134	0.000000	0.000010
FKBP1A	7.082617	5.865137	0.000000	0.000011
FABP1	7.017761	5.799639	0.000000	0.000015
PIKFYVE	6.991896	5.773518	0.000000	0.000017
TFAP4	6.951923	5.733149	0.000000	0.000021
CPEB4	6.946151	5.727320	0.000000	0.000021
SECISBP2L	6.939132	5.720231	0.000000	0.000021
UBFD1	6.929027	5.710027	0.000000	0.000021
EARS2	6.909287	5.690091	0.000000	0.000023
WIPI1	6.879148	5.659655	0.000000	0.000027
POLR3E	6.863396	5.643747	0.000000	0.000028
GPT	6.760232	5.539561	0.000000	0.000049
AL136531.2	6.698681	5.477402	0.000000	0.000067
BCL2L2-PABPN1	6.685305	5.463894	0.000000	0.000071
CARHSP1	6.639139	5.417271	0.000000	0.000089
YPEL5	6.569894	5.347341	0.000000	0.000126
ZNF778	6.559050	5.336389	0.000000	0.000130
CTDSP1	6.513650	5.290540	0.000000	0.000162
IRF2BPL	6.480915	5.257482	0.000000	0.000188
FITM1	6.451486	5.227761	0.000000	0.000215
ZNF2	6.445541	5.221757	0.000000	0.000217
PARL	6.433817	5.209917	0.000001	0.000222
WDFY1	6.432803	5.208893	0.000001	0.000222
ZNF514	6.400790	5.176563	0.000001	0.000257
PCK2	6.373609	5.149114	0.000001	0.000290
AC131160.1	6.364286	5.139698	0.000001	0.000298
NEU1	6.279969	5.054547	0.000001	0.000450
DCAF11	6.265205	5.039637	0.000001	0.000476
F10	6.254493	5.028819	0.000001	0.000493
CCT7	6.219550	4.993530	0.000002	0.000577
DEAF1	6.209741	4.983624	0.000002	0.000595
ORMDL3	6.192864	4.966581	0.000002	0.000631
UGP2	6.190919	4.964615	0.000002	0.000631
IL32	6.160091	4.933483	0.000002	0.000717
BCL2L1	6.158260	4.931634	0.000002	0.000717
NUTF2	6.148843	4.922123	0.000002	0.000739
HAGH	6.103228	4.876057	0.000003	0.000911
WDR60	6.090480	4.863184	0.000003	0.000954
RHBDF2	6.068281	4.840765	0.000003	0.001046
RBM39	6.064126	4.836569	0.000003	0.001051
RHBDF1	6.049499	4.821797	0.000004	0.001111
C17orf64	6.034133	4.806279	0.000004	0.001165
KIFC3	6.033269	4.805406	0.000004	0.001165
NR0B2	6.024626	4.796678	0.000004	0.001197
TRIM29	6.003781	4.775626	0.000004	0.001305
NEURL2	5.976805	4.748384	0.000005	0.001464
STAT2	5.938249	4.709446	0.000006	0.001734
ALS2	5.923802	4.694856	0.000007	0.001831
MPG	5.917325	4.688315	0.000007	0.001862
AJUBA	5.873464	4.644020	0.000008	0.002256
PRADC1	5.870816	4.641346	0.000008	0.002256
TAF13	5.863832	4.634293	0.000009	0.002300
STAT3	5.859165	4.629580	0.000009	0.002320
KHK	5.848181	4.618487	0.000009	0.002410
OGDH	5.822281	4.592331	0.000011	0.002684
AP5S1	5.813616	4.583580	0.000011	0.002758
SRC	5.810916	4.580854	0.000011	0.002758
SLC17A9	5.787409	4.557114	0.000012	0.003014
BMF	5.786313	4.556007	0.000012	0.003014
SLC2A4RG	5.781435	4.551080	0.000013	0.003045
ZFYVE1	5.765580	4.535069	0.000014	0.003236
SLC25A10	5.760973	4.530416	0.000014	0.003266
PPP1R3E	5.748713	4.518034	0.000015	0.003414
PSAP	5.746111	4.515407	0.000015	0.003415
BPIFB2	5.690634	4.459381	0.000019	0.004342
PSTK	5.649256	4.417594	0.000023	0.005168
FBXO36	5.641326	4.409585	0.000024	0.005294
EMC9	5.636287	4.404496	0.000024	0.005347
NOTUM	5.634139	4.402327	0.000025	0.005347
TCEA2	5.618184	4.386214	0.000026	0.005678
GDF15	5.610513	4.378467	0.000027	0.005812
SOX18	5.607163	4.375084	0.000028	0.005829
AL162231.3	5.604576	4.372472	0.000028	0.005829
C10orf88	5.600558	4.368414	0.000029	0.005829
ARFGEF2	5.600418	4.368272	0.000029	0.005829
VPS18	5.597342	4.365166	0.000029	0.005849
SRP54	5.574253	4.341848	0.000032	0.006409
ABTB2	5.547876	4.315210	0.000036	0.007121
PLK3	5.509125	4.276076	0.000043	0.008319
HNF4A	5.507507	4.274442	0.000043	0.008319
VPS13C	5.504980	4.271890	0.000043	0.008329
PNN	5.502155	4.269037	0.000044	0.008351
AL132780.3	5.495334	4.262149	0.000045	0.008519
IPO4	5.492747	4.259536	0.000046	0.008533
VAMP5	5.483628	4.250327	0.000048	0.008792
LAMA5	5.479544	4.246202	0.000048	0.008866
