g.name	raw.score	z.score	p.value	q.value
WDR81	2.242285	9.840231	0.000000	0.000000
AJUBA	2.190400	9.567974	0.000000	0.000000
CTGF	2.147630	9.343546	0.000000	0.000000
AL132780.3	2.065139	8.910686	0.000000	0.000000
NR1D1	2.033124	8.742692	0.000000	0.000000
TMEM140	2.010280	8.622824	0.000000	0.000000
BCL2L1	1.786355	7.447812	0.000000	0.000000
DUSP1	1.766645	7.344390	0.000000	0.000000
DCAF11	1.748049	7.246810	0.000000	0.000000
PCK1	1.738054	7.194364	0.000000	0.000000
IRF2BP2	1.721715	7.108624	0.000000	0.000000
NRL	1.704406	7.017802	0.000000	0.000000
SOCS1	1.693705	6.961646	0.000000	0.000000
HNMT	1.673965	6.858067	0.000000	0.000000
APOB	1.644480	6.703347	0.000000	0.000000
GPT	1.640602	6.682999	0.000000	0.000000
OSER1	1.596248	6.450256	0.000000	0.000000
ZMYND8	1.586758	6.400461	0.000000	0.000001
RBCK1	1.577752	6.353205	0.000000	0.000001
RBM39	1.563400	6.277892	0.000000	0.000001
TP53INP2	1.526644	6.085020	0.000000	0.000003
TLCD2	1.522905	6.065403	0.000000	0.000004
WDR74	1.515443	6.026247	0.000000	0.000004
MAP1LC3B	1.496359	5.926108	0.000000	0.000008
TEAD1	1.471503	5.795678	0.000000	0.000016
ZNFX1	1.418836	5.519317	0.000000	0.000071
GZF1	1.416161	5.505279	0.000000	0.000074
FBXO31	1.411195	5.479221	0.000000	0.000081
MGME1	1.410850	5.477414	0.000000	0.000081
HMOX1	1.405785	5.450836	0.000000	0.000090
SNX5	1.404891	5.446141	0.000000	0.000090
CSTF1	1.392754	5.382456	0.000000	0.000123
AURKA	1.384517	5.339236	0.000000	0.000151
EMC9	1.380180	5.316475	0.000000	0.000165
STAT1	1.369696	5.261462	0.000000	0.000215
IGFBP1	1.358688	5.203702	0.000001	0.000283
C5orf51	1.355074	5.184740	0.000001	0.000304
PNN	1.347041	5.142588	0.000001	0.000369
ID2	1.343420	5.123585	0.000001	0.000396
SRP54	1.337273	5.091330	0.000001	0.000454
SYNJ2	1.336515	5.087352	0.000001	0.000454
ZNF821	1.330413	5.055334	0.000001	0.000522
BCL6	1.317431	4.987210	0.000002	0.000704
KDM6B	1.317325	4.986655	0.000002	0.000704
CEBPB	1.312187	4.959695	0.000002	0.000787
UBC	1.295449	4.871865	0.000003	0.001186
AHCY	1.293994	4.864228	0.000003	0.001206
KIFC3	1.273236	4.755308	0.000005	0.001994
NFKBIA	1.259578	4.683635	0.000007	0.002741
DHRS1	1.257465	4.672550	0.000007	0.002831
NOP9	1.255257	4.660963	0.000008	0.002930
PSME1	1.250474	4.635865	0.000009	0.003231
TRIB3	1.233996	4.549398	0.000013	0.004717
PSMA7	1.227406	4.514823	0.000015	0.005417
ROCK2	1.226532	4.510235	0.000015	0.005431
MTMR4	1.217940	4.465150	0.000019	0.006533
ZNF341	1.209203	4.419301	0.000023	0.007870
IRF2	1.208290	4.414515	0.000023	0.007902
VAMP5	1.206815	4.406771	0.000024	0.008040
ASXL1	1.200185	4.371981	0.000028	0.009122
EFNA1	1.199912	4.370550	0.000028	0.009122
