g.name	raw.score	z.score	p.value	q.value
FCER2	18.872737	6.800203	0.000000	0.000001
DUSP22	18.703307	6.722143	0.000000	0.000001
SCIMP	18.114357	6.450804	0.000000	0.000002
HJV	17.885216	6.345234	0.000000	0.000004
TNFRSF13B	17.567769	6.198981	0.000000	0.000007
IL21R	16.279228	5.605328	0.000000	0.000199
ASB2	16.045457	5.497625	0.000000	0.000311
PDE4A	15.928262	5.443632	0.000000	0.000365
LAPTM5	15.323767	5.165130	0.000001	0.001302
ITGAL	15.316453	5.161761	0.000001	0.001302
USP3	15.246560	5.129560	0.000001	0.001397
STK17B	14.800824	4.924201	0.000002	0.003596
