g.name	raw.score	z.score	p.value	q.value
ZMYND8	5.284661	7.093723	0.000000	0.000000
ID1	5.078148	6.739429	0.000000	0.000000
PER2	5.027955	6.653318	0.000000	0.000000
NFIL3	5.007952	6.619002	0.000000	0.000000
PRNP	4.932665	6.489839	0.000000	0.000001
AJUBA	4.737084	6.154300	0.000000	0.000007
HOMEZ	4.687172	6.068670	0.000000	0.000010
PCK2	4.630954	5.972222	0.000000	0.000016
AL121845.2	4.578453	5.882153	0.000000	0.000024
ZHX3	4.469381	5.695029	0.000000	0.000065
LIME1	4.410011	5.593173	0.000000	0.000107
CEBPB	4.380717	5.542916	0.000000	0.000130
DHRS2	4.368668	5.522245	0.000000	0.000136
AL132780.3	4.334849	5.464225	0.000000	0.000164
BHLHE40	4.334592	5.463784	0.000000	0.000164
CASC10	4.312070	5.425146	0.000000	0.000185
BCL2L2	4.300385	5.405099	0.000000	0.000185
PNN	4.300300	5.404953	0.000000	0.000185
PPP1R3E	4.297345	5.399884	0.000000	0.000185
BCL2L1	4.279297	5.368919	0.000000	0.000208
HIST1H4K	4.270530	5.353879	0.000000	0.000216
NR1D1	4.137732	5.126051	0.000001	0.000650
EIF1	4.133979	5.119612	0.000001	0.000650
SLC2A4RG	4.126261	5.106371	0.000001	0.000650
REV1	4.125316	5.104750	0.000001	0.000650
MGAT4A	4.124600	5.103521	0.000001	0.000650
TNNC2	4.103760	5.067769	0.000001	0.000752
SLC18B1	4.083605	5.033190	0.000001	0.000842
KHNYN	4.082755	5.031733	0.000001	0.000842
CBLN3	4.071291	5.012064	0.000001	0.000900
SNX21	4.064735	5.000817	0.000001	0.000922
FBXO33	4.030863	4.942707	0.000002	0.001194
AL163636.2	3.979485	4.854563	0.000003	0.001784
THTPA	3.975432	4.847610	0.000003	0.001793
BCL2L2-PABPN1	3.969658	4.837703	0.000003	0.001828
PCK1	3.955298	4.813066	0.000004	0.002004
OGFR	3.919109	4.750980	0.000005	0.002625
ADGRG6	3.912259	4.739229	0.000005	0.002665
RNASE4	3.910943	4.736971	0.000005	0.002665
PSMD1	3.905373	4.727415	0.000006	0.002721
ANG	3.901745	4.721191	0.000006	0.002735
TRAPPC6B	3.889791	4.700683	0.000006	0.002942
ACSF2	3.885287	4.692956	0.000007	0.002982
PCNA	3.879356	4.682781	0.000007	0.003058
SRXN1	3.860312	4.650109	0.000008	0.003484
RBM39	3.855164	4.641277	0.000008	0.003553
SMIM19	3.836622	4.609467	0.000010	0.004030
POFUT1	3.829203	4.596739	0.000010	0.004186
ZFHX2	3.823363	4.586719	0.000011	0.004242
DYNLRB1	3.822439	4.585134	0.000011	0.004242
CDS2	3.793293	4.535131	0.000014	0.005226
PLAGL2	3.779762	4.511918	0.000015	0.005695
PSMB5	3.761638	4.480824	0.000017	0.006429
ATXN1	3.757406	4.473564	0.000018	0.006489
ARHGAP5	3.753984	4.467693	0.000018	0.006489
TOP1	3.753369	4.466637	0.000019	0.006489
SPRED1	3.750674	4.462014	0.000019	0.006511
RALY	3.725272	4.418435	0.000023	0.007767
ZNFX1	3.722117	4.413021	0.000024	0.007771
SDC4	3.719955	4.409312	0.000024	0.007771
MRGBP	3.717970	4.405907	0.000024	0.007771
CYGB	3.716520	4.403420	0.000025	0.007771
MOCS3	3.703229	4.380616	0.000027	0.008456
SPRED2	3.698342	4.372233	0.000028	0.008637
STK35	3.694868	4.366273	0.000029	0.008647
ADCY4	3.694140	4.365024	0.000029	0.008647
NAGPA	3.691235	4.360040	0.000030	0.008707
RRBP1	3.683326	4.346472	0.000032	0.009103
ITM2B	3.676703	4.335109	0.000033	0.009427
