g.name	raw.score	z.score	p.value	q.value
ID1	13.060110	6.662723	0.000000	0.000002
AJUBA	12.423460	6.268850	0.000000	0.000006
PCK2	12.406699	6.258481	0.000000	0.000006
RBM39	12.391041	6.248794	0.000000	0.000006
AL132780.3	12.355372	6.226727	0.000000	0.000006
IGFBP1	12.294386	6.188997	0.000000	0.000006
DCAF11	12.144058	6.095994	0.000000	0.000010
PNN	11.454943	5.669664	0.000000	0.000104
SRP54	10.897101	5.324547	0.000000	0.000616
ZMYND8	10.836892	5.287298	0.000000	0.000676
NRL	10.731410	5.222041	0.000000	0.000866
HECTD1	10.442439	5.043265	0.000001	0.001987
HSPE1	10.218671	4.904827	0.000002	0.003651
NBPF1	10.115699	4.841122	0.000003	0.004624
HEATR5A	10.055066	4.803611	0.000004	0.004636
ROMO1	10.049841	4.800379	0.000004	0.004636
NFS1	10.049790	4.800347	0.000004	0.004636
POLR3E	10.005148	4.772729	0.000005	0.004997
CEBPB	9.978231	4.756076	0.000005	0.005125
ZNFX1	9.873772	4.691451	0.000007	0.006422
AP4S1	9.855245	4.679989	0.000007	0.006422
RBCK1	9.850652	4.677147	0.000007	0.006422
EMC9	9.761260	4.621844	0.000009	0.007944
MGME1	9.726635	4.600422	0.000010	0.008404
TINF2	9.668134	4.564230	0.000012	0.009194
SNX5	9.666670	4.563324	0.000012	0.009194
RNASE4	9.652012	4.554256	0.000013	0.009227
ANG	9.637396	4.545214	0.000013	0.009272
STRN3	9.548077	4.489955	0.000017	0.011490
TRAPPC6B	9.535061	4.481903	0.000017	0.011516
UCKL1	9.508692	4.465589	0.000019	0.011988
AL163636.2	9.482968	4.449675	0.000020	0.012467
TTC6	9.420169	4.410823	0.000024	0.014360
FOXA1	9.254916	4.308587	0.000037	0.021655
NFKBIA	9.245950	4.303040	0.000038	0.021655
ASXL1	9.180382	4.262476	0.000045	0.025048
TM9SF1	9.162915	4.251669	0.000047	0.025518
IPO4	9.119624	4.224887	0.000053	0.027833
HSP90AB1	9.085153	4.203561	0.000058	0.029670
HSPE1-MOB4	8.981155	4.139221	0.000076	0.037683
ZFP36L2	8.968835	4.131599	0.000078	0.037683
AL121845.2	8.963632	4.128381	0.000079	0.037683
SP5	8.906391	4.092967	0.000092	0.042024
MAP1LC3B	8.902456	4.090533	0.000093	0.042024
TPD52L2	8.893547	4.085021	0.000095	0.042026
HNMT	8.882731	4.078330	0.000098	0.042251
TXNDC11	8.856118	4.061865	0.000104	0.044218
