TIMM22	30.132728	18.782181	0.000000	0.000000
SOS2	20.179050	11.987739	0.000000	0.000000
NBPF1	15.508129	8.799339	0.000000	0.000000
ZNF566	15.085772	8.511036	0.000000	0.000000
TBCE	13.596109	7.494183	0.000000	0.000000
ETV4	11.618812	6.144468	0.000000	0.000008
ZNF790	11.563564	6.106756	0.000000	0.000009
ZNF570	11.404322	5.998056	0.000000	0.000015
COQ3	11.376366	5.978973	0.000000	0.000015
HNRNPL	11.262069	5.900953	0.000000	0.000022
PLEKHG2	11.212624	5.867201	0.000000	0.000024
FBXO17	11.030351	5.742781	0.000000	0.000046
LPAR3	11.006109	5.726233	0.000000	0.000046
RARS2	10.952064	5.689342	0.000000	0.000053
ZNF233	10.916475	5.665048	0.000000	0.000056
PKM	10.903629	5.656279	0.000000	0.000056
ORC3	10.858327	5.625356	0.000000	0.000063
ACTN2	10.702089	5.518707	0.000000	0.000108
DPF1	10.682787	5.505532	0.000000	0.000110
PRRT2	10.655262	5.486743	0.000000	0.000115
SAMD4B	10.447985	5.345254	0.000000	0.000237
GMFG	10.365252	5.288780	0.000000	0.000305
DMKN	10.287812	5.235919	0.000000	0.000385
TAF5L	10.234827	5.199751	0.000001	0.000446
COQ10A	10.213426	5.185143	0.000001	0.000462
URB2	9.991936	5.033952	0.000001	0.000961
PPP1R10	9.781470	4.890287	0.000003	0.001888
HEBP2	9.716564	4.845982	0.000003	0.002258
B3GALNT2	9.635248	4.790475	0.000004	0.002849
CDC42BPA	9.317431	4.573531	0.000011	0.007605
COQ8B	9.195554	4.490337	0.000017	0.010731
ZNF226	9.155292	4.462854	0.000019	0.011641
ZNF850	9.147752	4.457707	0.000019	0.011641
SSH2	9.138604	4.451463	0.000020	0.011641
WDR62	9.094015	4.421026	0.000023	0.012943
POLR2I	8.965431	4.333253	0.000033	0.018478
C17orf64	8.829203	4.240264	0.000050	0.026784
TNFSF9	8.812926	4.229153	0.000052	0.027336
THAP8	8.784337	4.209638	0.000057	0.028921
ZNF146	8.759416	4.192626	0.000061	0.030287
CADM4	8.722480	4.167414	0.000068	0.032501
PLAUR	8.708163	4.157641	0.000070	0.032501
BCLAF1	8.705515	4.155833	0.000071	0.032501
HNRNPA1	8.701178	4.152873	0.000072	0.032501
MGA	8.663436	4.127110	0.000080	0.035356
PINLYP	8.654668	4.121125	0.000082	0.035452
MTHFR	8.622257	4.099001	0.000090	0.038000
SIRT2	8.614144	4.093463	0.000092	0.038062
MRPL36	8.602366	4.085423	0.000095	0.038532
AL163636.2	8.589277	4.076489	0.000098	0.039163
TOMM20	8.579238	4.069636	0.000101	0.039482
AC093512.2	8.554005	4.052412	0.000108	0.041529
EGLN2	8.511495	4.023394	0.000122	0.045657
ZNF571	8.505262	4.019140	0.000124	0.045657
UACA	8.499213	4.015010	0.000126	0.045657
ZNF780A	8.467946	3.993667	0.000137	0.048843
